Name,AssetId,Title,Category,Status,ProductionReady,ImplementationProfile,CompanionTo,SupersededBy,BlockingConflictCount,PendingCheckCount,SourceSheet,Manifest,UnrealDestination,BlenderCollection
GGP_Ship_L02_ThrustTower_ReferenceV1,GGP.Ship.L02.ThrustTower.ReferenceV1,GGP-L02 Large Colony Habitat Ark Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-l02-large-colony-habitat-ark-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-l02-large-colony-habitat-ark-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/L02,GGP_L02_LARGE_COLONY_HABITAT_ARK
GGP_Ship_L03_ThrustTower_ReferenceV1,GGP.Ship.L03.ThrustTower.ReferenceV1,GGP-L03 Large Fleet Logistics Carrier Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-l03-large-fleet-logistics-carrier-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-l03-large-fleet-logistics-carrier-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/L03,GGP_L03_LARGE_FLEET_LOGISTICS_CARRIER
GGP_Ship_M01_ThrustTower_ReferenceV1,GGP.Ship.M01.ThrustTower.ReferenceV1,GGP-M01 Medium Military Corvette Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-m01-medium-military-corvette-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-m01-medium-military-corvette-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/M01,GGP_M01_MEDIUM_MILITARY_CORVETTE
GGP_Ship_M02_ThrustTower_ReferenceV1,GGP.Ship.M02.ThrustTower.ReferenceV1,GGP-M02 Medium Research Cruiser Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-m02-medium-research-cruiser-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-m02-medium-research-cruiser-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/M02,GGP_M02_MEDIUM_RESEARCH_CRUISER
GGP_Ship_M03_ThrustTower_ReferenceV1,GGP.Ship.M03.ThrustTower.ReferenceV1,GGP-M03 Medium Medical Quarantine Cruiser Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-m03-medium-medical-quarantine-cruiser-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-m03-medium-medical-quarantine-cruiser-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/M03,GGP_M03_MEDIUM_MEDICAL_QUARANTINE_CRUISER
GGP_Ship_S01_ThrustTower_ReferenceV1,GGP.Ship.S01.ThrustTower.ReferenceV1,GGP-S01 Small Utility Escort Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-s01-small-utility-escort-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-s01-small-utility-escort-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/S01,GGP_S01_SMALL_UTILITY_ESCORT
GGP_Ship_S02_ThrustTower_ReferenceV1,GGP.Ship.S02.ThrustTower.ReferenceV1,GGP-S02 Small Deep Survey Cutter Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-s02-small-deep-survey-cutter-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-s02-small-deep-survey-cutter-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/S02,GGP_S02_SMALL_DEEP_SURVEY_CUTTER
GGP_Ship_S03_ThrustTower_ReferenceV1,GGP.Ship.S03.ThrustTower.ReferenceV1,GGP-S03 Small Salvage Recovery Tender Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-s03-small-salvage-recovery-tender-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-s03-small-salvage-recovery-tender-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/S03,GGP_S03_SMALL_SALVAGE_RECOVERY_TENDER
GGP_Ship_SmallUtilityEscort_ReferenceV1,GGP.Ship.SmallUtilityEscort.ReferenceV1,Small Utility Escort,ship,blocked,false,core,,,1,4,docs/concept-art/2026-08-28/production-reference/small-utility-escort-production-sheet-v1.png,docs/concept-art/2026-08-28/production-reference/small-utility-escort-production-sheet-v1.production.json,/Game/Assets/Ships/Exterior/ConceptMatch/SmallUtilityEscort,PR_SmallUtilityEscort
GGP_Ship_Wayfarer_ExteriorMaster_ReferenceV1,GGP.Ship.Wayfarer.ExteriorMaster.ReferenceV1,GGP-01 Wayfarer Exterior Master,ship,technical-review,false,core,,,1,4,docs/concept-art/2026-08-29/production-reference/ggp01-wayfarer-exterior-master-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-wayfarer-exterior-master-v1.production.json,/Game/Assets/Ships/Exterior/ConceptMatch/SmallUtilityEscort,PR_GGP01_Wayfarer
GGP_Ship_Wayfarer_SplineStreamingRender_ReferenceV1,GGP.Ship.Wayfarer.SplineStreamingRender.ReferenceV1,"GGP-01 Wayfarer Spline, Streaming, and Render Mapping",ship,technical-review,false,expanded,GGP.Ship.Wayfarer.ExteriorMaster.ReferenceV1,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-wayfarer-spline-streaming-render-mapping-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-wayfarer-spline-streaming-render-mapping-v1.production.json,/Game/Ships/GGP01/Exterior,GGP01_Wayfarer_Exterior
GGP_UI_FrontEndVersusPerspective_ReferenceV1,GGP.UI.FrontEndVersusPerspective.ReferenceV1,GGP Front-End and Versus Perspective UI System V1,ui-system,technical-review,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-front-end-versus-perspective-ui-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-front-end-versus-perspective-ui-system-v1.production.json,/Game/UI,GGP_UI_FrontEndPreview
GGP_UI_HelmetHUD_DataRenderState_ReferenceV1,GGP.UI.HelmetHUD.DataRenderState.ReferenceV1,"GGP-01 Helmet HUD Data, Render, and State Mapping",ui-system,technical-review,false,expanded,GGP.UI.HelmetHUD.ModularSystem.ReferenceV2,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-helmet-hud-data-render-state-mapping-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-helmet-hud-data-render-state-mapping-v1.production.json,/Game/UI/HUD/Helmet/Production,GGP01_HelmetHUD_Reference
GGP_UI_HelmetHUD_ModularSystem_ReferenceV1,GGP.UI.HelmetHUD.ModularSystem.ReferenceV1,GGP-01 Modular Helmet HUD,ui-system,blocked,false,core,,GGP.UI.HelmetHUD.ModularSystem.ReferenceV2,1,6,docs/concept-art/2026-08-29/production-reference/ggp01-modular-helmet-hud-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-modular-helmet-hud-v1.production.json,/Game/UI/HUD,N_A_UI_HelmetHUD
GGP_UI_HelmetHUD_ModularSystem_ReferenceV2,GGP.UI.HelmetHUD.ModularSystem.ReferenceV2,GGP-01 Modular Helmet HUD,ui-system,ready-for-graybox,false,core,,,0,7,docs/concept-art/2026-08-29/production-reference/ggp01-modular-helmet-hud-v2.png,docs/concept-art/2026-08-29/production-reference/ggp01-modular-helmet-hud-v2.production.json,/Game/UI/HUD,N_A_UI_HelmetHUD
GGP_UI_Shipboard_InterfaceSystem_ReferenceV1,GGP.UI.Shipboard.InterfaceSystem.ReferenceV1,GGP-01 Shipboard Interface System,ui-system,ready-for-graybox,false,core,,,0,6,docs/concept-art/2026-08-29/production-reference/ggp01-shipboard-interface-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-shipboard-interface-system-v1.production.json,/Game/UI/Shipboard,N_A_UI_Shipboard
